            Frequency	      V(Ekte_firkant)
                    0	    0.200201131447066
        9.99999999998	2.77810002452585e-012
       19.99999999996	3.32599787768279e-012
       29.99999999994	2.77917715202117e-012
       39.99999999992	 8.9707114975551e-007
        49.9999999999	1.22690983663347e-012
       59.99999999988	2.43310894850618e-012
       69.99999999986	3.94754775082328e-012
       79.99999999984	6.37969551010236e-006
       89.99999999982	2.79508533458806e-013
        99.9999999998	1.99983493022853e-012
      109.99999999978	 2.7156575852025e-012
      119.99999999976	6.09163559139865e-006
      129.99999999974	7.70617493484213e-012
      139.99999999972	8.36603728917046e-012
       149.9999999997	9.77285891600673e-012
      159.99999999968	3.75661940387066e-006
      169.99999999966	9.15744358011897e-012
      179.99999999964	1.22145839926967e-011
      189.99999999962	2.43065322206832e-011
       199.9999999996	    0.374521438942564
      209.99999999958	 2.8312608474072e-011
      219.99999999956	1.70957977587433e-011
      229.99999999954	 1.3529677432817e-011
      239.99999999952	2.87212535918082e-006
       249.9999999995	1.15553449863181e-011
      259.99999999948	1.20671120382473e-011
      269.99999999946	1.40798997888008e-011
      279.99999999944	1.64051339592003e-005
      289.99999999942	3.08741876237085e-012
       299.9999999994	5.23435454583189e-012
      309.99999999938	4.61938572475818e-012
      319.99999999936	1.62221943913187e-005
      329.99999999934	 1.6390519823229e-011
      339.99999999932	1.57775908193967e-011
       349.9999999993	1.68891148094529e-011
      359.99999999928	5.44971935294911e-006
      369.99999999926	1.74989291275521e-011
      379.99999999924	 2.2708268514544e-011
      389.99999999922	4.17626932784399e-011
       399.9999999992	    0.302856046898967
      409.99999999918	4.32777331647374e-011
      419.99999999916	2.45615095459091e-011
      429.99999999914	1.91564423602961e-011
      439.99999999912	5.11766044147298e-006
       449.9999999991	 1.7576609767912e-011
      459.99999999908	1.71999389828247e-011
      469.99999999906	1.88357127173143e-011
      479.99999999904	2.01553392423571e-005
      489.99999999902	4.75798593841486e-012
        499.999999999	 6.4663539059046e-012
      509.99999999898	4.75891865951302e-012
      519.99999999896	2.01445492343154e-005
      529.99999999894	1.88027401135661e-011
      539.99999999892	 1.7173953356365e-011
       549.9999999989	1.75496082515616e-011
      559.99999999888	5.09699129288975e-006
      569.99999999886	1.91571527474196e-011
      579.99999999884	2.45595519550221e-011
      589.99999999882	4.32567105264941e-011
       599.9999999988	    0.201698162107052
      609.99999999878	4.16956465789587e-011
      619.99999999876	2.26595847831472e-011
      629.99999999874	1.74594815604982e-011
      639.99999999872	5.45911825913245e-006
       649.9999999987	1.68795012331165e-011
      659.99999999868	1.57680079068689e-011
      669.99999999866	1.63861819639633e-011
      679.99999999864	1.61922192621532e-005
      689.99999999862	4.61043718777176e-012
       699.9999999986	5.22448619678315e-012
      709.99999999858	3.07971106180134e-012
      719.99999999856	1.63576975369817e-005
      729.99999999854	1.40223039015624e-011
      739.99999999852	1.20153473065057e-011
       749.9999999985	1.15018839165606e-011
      759.99999999848	2.84905663266229e-006
      769.99999999846	 1.3491461660405e-011
      779.99999999844	1.70442841235324e-011
      789.99999999842	2.82117796678303e-011
       799.9999999984	   0.0932262821491144
      809.99999999838	2.41770216998184e-011
      819.99999999836	1.21338993190328e-011
      829.99999999834	9.09437576845485e-012
      839.99999999832	3.75085150392127e-006
       849.9999999983	9.73063017516878e-012
      859.99999999828	8.32503810252424e-012
      869.99999999826	7.66613271474671e-012
      879.99999999824	6.03243978649544e-006
      889.99999999822	2.70245128294765e-012
       899.9999999982	1.98386969926936e-012
      909.99999999818	2.63664630635311e-013
      919.99999999816	6.31381959047964e-006
      929.99999999814	3.88769242019703e-012
      939.99999999812	2.37708324863457e-012
       949.9999999981	1.17040485018098e-012
      959.99999999808	9.10874150427592e-007
      969.99999999806	2.71867206685392e-012
      979.99999999804	3.25361717758284e-012
      989.99999999802	2.65452120038244e-012
        999.999999998	 0.000399209809136257
     1009.99999999798	2.90326191655795e-012
     1019.99999999796	3.39867327175846e-012
     1029.99999999794	2.83965261511243e-012
     1039.99999999792	8.83385972973507e-007
      1049.9999999979	1.28377924902072e-012
     1059.99999999788	2.48929462371125e-012
     1069.99999999786	4.00753694129153e-012
     1079.99999999784	6.44548916655027e-006
     1089.99999999782	2.95394491900684e-013
      1099.9999999978	2.01579615665789e-012
     1109.99999999778	2.72885046098455e-012
     1119.99999999776	6.15061114023925e-006
     1129.99999999774	7.74592527651304e-012
     1139.99999999772	8.40679979514133e-012
      1149.9999999977	 9.8148364863765e-012
     1159.99999999768	3.76224993884699e-006
     1169.99999999766	9.22042781021339e-012
     1179.99999999764	1.22951583956199e-011
