 #           Frequency	      V(Ekte_firkant)
                    0	    0.500503793477775
        9.99999999998	8.21780299101659e-012
       19.99999999996	3.88780656519459e-007
       29.99999999994	7.30621810979017e-012
       39.99999999992	3.57331396138715e-007
        49.9999999999	 7.8110145876509e-012
       59.99999999988	5.12586331288914e-006
       69.99999999986	1.44463358244991e-012
       79.99999999984	5.47177157486905e-007
       89.99999999982	1.45850466766271e-012
        99.9999999998	4.23963865998499e-007
      109.99999999978	2.50583000837254e-012
      119.99999999976	1.75961355309501e-006
      129.99999999974	4.39277845470247e-012
      139.99999999972	2.53813328912394e-007
       149.9999999997	4.67207073938661e-012
      159.99999999968	2.48666156822649e-007
      169.99999999966	4.73054976860338e-012
      179.99999999964	6.49112653485918e-007
      189.99999999962	4.14502959399751e-012
       199.9999999996	2.09894396804548e-007
      209.99999999958	 7.8026164902665e-012
      219.99999999956	2.74291308556621e-005
      229.99999999954	2.47824308762664e-011
      239.99999999952	9.58013440693696e-007
       249.9999999995	1.30438066187588e-011
      259.99999999948	1.54266583449829e-007
      269.99999999946	2.77344788978668e-011
      279.99999999944	4.05036391524066e-005
      289.99999999942	9.69940759100355e-012
       299.9999999994	2.62740107363517e-007
      309.99999999938	 5.0956085134908e-012
      319.99999999936	2.47160511457129e-007
      329.99999999934	8.47581691829834e-012
      339.99999999932	1.36677785421752e-006
       349.9999999993	1.06811928807193e-011
      359.99999999928	2.27624423090484e-007
      369.99999999926	 1.1892829634924e-011
      379.99999999924	1.88136427253681e-006
      389.99999999922	1.90315060713552e-011
       399.9999999992	2.31825068716424e-006
      409.99999999918	1.22588834692026e-011
      419.99999999916	2.09544271534229e-007
      429.99999999914	1.03010715277521e-011
      439.99999999912	1.27359019036771e-005
       449.9999999991	3.69582388673148e-011
      459.99999999908	5.80613414601367e-007
      469.99999999906	3.72052853094557e-011
      479.99999999904	2.42222088538291e-007
      489.99999999902	 1.1605153448612e-010
        499.999999999	    0.636623582347115
      509.99999999898	 1.1600416418134e-010
      519.99999999896	 2.3978069581716e-007
      529.99999999894	3.71749950973082e-011
      539.99999999892	5.79030213261457e-007
       549.9999999989	3.69005781807939e-011
      559.99999999888	1.26940153806876e-005
      569.99999999886	1.03001995855045e-011
      579.99999999884	2.09055374214131e-007
      589.99999999882	 1.2254634505846e-011
       599.9999999988	2.32150189340686e-006
      609.99999999878	1.90453053691217e-011
      619.99999999876	1.88116048245119e-006
      629.99999999874	1.18960539317533e-011
      639.99999999872	2.29090406878456e-007
       649.9999999987	 1.0690994654561e-011
      659.99999999868	1.38635418625321e-006
      669.99999999866	8.48218248866369e-012
      679.99999999864	 2.4302757350337e-007
      689.99999999862	5.10529472331394e-012
       699.9999999986	2.61754752351909e-007
      709.99999999858	9.65920662311245e-012
      719.99999999856	4.03930203228042e-005
      729.99999999854	2.76387230660008e-011
      739.99999999852	1.53637662723043e-007
       749.9999999985	1.30055960752594e-011
      759.99999999848	9.58037204804492e-007
      769.99999999846	  2.471374642204e-011
      779.99999999844	2.73180645164378e-005
      789.99999999842	7.79489431473501e-012
       799.9999999984	2.11011212447948e-007
      809.99999999838	4.12955952381351e-012
      819.99999999836	6.52724630876853e-007
      829.99999999834	4.71843041166031e-012
      839.99999999832	2.39936778241467e-007
       849.9999999983	4.63900946191321e-012
      859.99999999828	2.53669885618961e-007
      869.99999999826	4.37208231385581e-012
      879.99999999824	  1.748499698087e-006
      889.99999999822	2.43134138449319e-012
       899.9999999982	4.30701489750657e-007
      909.99999999818	1.43642454253428e-012
      919.99999999816	5.46908632021965e-007
      929.99999999814	1.39427050254346e-012
      939.99999999812	5.09599627125002e-006
       949.9999999981	7.68517750255691e-012
      959.99999999808	3.60605616417665e-007
      969.99999999806	7.18032142616733e-012
      979.99999999804	3.89518758912974e-007
      989.99999999802	7.85818862372598e-012
        999.999999998	 0.000999954213700527
     1009.99999999798	8.57715150521931e-012
     1019.99999999796	3.88030677429825e-007
     1029.99999999794	 7.4319424483218e-012
     1039.99999999792	  3.540690183677e-007
      1049.9999999979	7.93651876168335e-012
     1059.99999999788	5.15547726894526e-006
     1069.99999999786	1.49505720275381e-012
     1079.99999999784	5.47437232804739e-007
     1089.99999999782	1.48195086505185e-012
      1099.9999999978	4.17218492352219e-007
     1109.99999999778	2.58045838067086e-012
     1119.99999999776	1.77072217389672e-006
     1129.99999999774	4.41369725163502e-012
     1139.99999999772	  2.539521025044e-007
      1149.9999999977	4.70527757422693e-012
     1159.99999999768	2.57522872236937e-007
     1169.99999999766	  4.742699538251e-012
     1179.99999999764	6.45481217671466e-007
     1189.99999999762	4.16064841494305e-012
      1199.9999999976	2.08782234023375e-007
     1209.99999999758	7.81008065797925e-012
     1219.99999999756	2.75394113410946e-005
     1229.99999999754	2.48505593168443e-011
     1239.99999999752	9.57970721874196e-007
      1249.9999999975	1.30818130720741e-011
     1259.99999999748	1.54951283304906e-007
     1269.99999999746	2.78297932919059e-011
     1279.99999999744	4.06134394787871e-005
     1289.99999999742	9.73952461531537e-012
      1299.9999999974	2.63719447033161e-007
     1309.99999999738	5.08591730063751e-012
     1319.99999999736	2.51316972229751e-007
     1329.99999999734	8.46961073340129e-012
     1339.99999999732	1.34717202557615e-006
      1349.9999999973	1.06712144746863e-011
     1359.99999999728	2.26157926038528e-007
     1369.99999999726	1.18893989156798e-011
     1379.99999999724	1.88149431598924e-006
     1389.99999999722	1.90172862842273e-011
      1399.9999999972	2.31495618779536e-006
     1409.99999999718	1.22628891877091e-011
     1419.99999999716	2.10038693811877e-007
     1429.99999999714	1.03017647974681e-011
     1439.99999999712	1.27776362310441e-005
      1449.9999999971	3.70152196722636e-011
     1459.99999999708	5.82169332467418e-007
     1469.99999999706	3.72349954476286e-011
     1479.99999999704	2.44668045352025e-007
     1489.99999999702	1.16097387246062e-010
       1499.999999997	    0.212205068578165
     1509.99999999698	1.15955278489733e-010
     1519.99999999696	2.37343958151399e-007
     1529.99999999694	3.71441261843301e-011
     1539.99999999692	5.77427113327843e-007
      1549.9999999969	3.68422398628142e-011
     1559.99999999688	1.26519782991928e-005
     1569.99999999686	1.02991483294206e-011
     1579.99999999684	2.08572580500774e-007
     1589.99999999682	1.22501420664685e-011
      1599.9999999968	2.32470966856238e-006
     1609.99999999678	1.90586829557499e-011
     1619.99999999676	1.88088254687745e-006
     1629.99999999674	1.18990713386244e-011
     1639.99999999672	2.30555844349354e-007
      1649.9999999967	1.07006188042247e-011
     1659.99999999668	1.40589792902019e-006
     1669.99999999666	8.48870510188091e-012
     1679.99999999664	 2.3891829434429e-007
     1689.99999999662	5.11497477518291e-012
      1699.9999999966	 2.6076773208004e-007
     1709.99999999658	9.61892420955235e-012
     1719.99999999656	4.02815864975278e-005
     1729.99999999654	2.75425288157635e-011
     1739.99999999652	 1.5306589631157e-007
      1749.9999999965	1.29671824954958e-011
     1759.99999999648	 9.5804206390135e-007
     1769.99999999646	2.46445089525591e-011
     1779.99999999644	2.72062458699621e-005
     1789.99999999642	7.78691497923921e-012
      1799.9999999964	 2.1213268956505e-007
     1809.99999999638	4.11423809089066e-012
     1819.99999999636	6.56315873577244e-007
     1829.99999999634	4.70633845423519e-012
     1839.99999999632	2.31334887426978e-007
      1849.9999999963	 4.6060953540955e-012
     1859.99999999628	 2.5352402403539e-007
     1869.99999999626	4.35161124676285e-012
     1879.99999999624	 1.7373811062008e-006
     1889.99999999622	2.35699572552126e-012
      1899.9999999962	4.37428490429354e-007
     1909.99999999618	1.41577253523014e-012
     1919.99999999616	5.46631632177252e-007
     1929.99999999614	1.34397040864141e-012
     1939.99999999612	5.06588928263122e-006
      1949.9999999961	 7.5590121919278e-012
     1959.99999999608	3.63891478557154e-007
     1969.99999999606	7.05425654616916e-012
     1979.99999999604	3.90244538570219e-007
     1989.99999999602	7.49832107755487e-012
       1999.999999996	 0.000999944346422178
     2009.99999999598	8.93622239077256e-012
     2019.99999999596	3.87268678407765e-007
     2029.99999999594	7.55749037382813e-012
     2039.99999999592	3.50818665409504e-007
      2049.9999999959	8.06168539027894e-012
     2059.99999999588	5.18485006322798e-006
     2069.99999999586	1.54553908062583e-012
     2079.99999999584	5.47688842319463e-007
     2089.99999999582	1.50670092846582e-012
      2099.9999999958	4.10469951380969e-007
     2109.99999999578	2.65522333722453e-012
     2119.99999999576	1.78182512032642e-006
     2129.99999999574	4.43483628794502e-012
     2139.99999999572	2.54088854291413e-007
      2149.9999999957	4.73862834877436e-012
     2159.99999999568	2.66506780304578e-007
     2169.99999999566	4.75488275259968e-012
     2179.99999999564	6.41827419458592e-007
     2189.99999999562	4.17641607383649e-012
      2199.9999999956	2.07674694133199e-007
     2209.99999999558	7.81728598670753e-012
     2219.99999999556	2.76489083440719e-005
     2229.99999999554	2.49181287525424e-011
     2239.99999999552	9.57909027859912e-007
      2249.9999999955	1.31196143867202e-011
     2259.99999999548	1.55690731048162e-007
     2269.99999999546	2.79246632334851e-011
     2279.99999999544	4.07224179581868e-005
     2289.99999999542	9.77955523863244e-012
      2299.9999999954	2.64696773904995e-007
     2309.99999999538	5.07622225687544e-012
     2319.99999999536	 2.5549683356736e-007
     2329.99999999534	8.46356623679747e-012
     2339.99999999532	1.32753453080004e-006
      2349.9999999953	1.06610604225564e-011
     2359.99999999528	2.24690924320497e-007
     2369.99999999526	   1.18857622403e-011
     2379.99999999524	1.88155017750849e-006
     2389.99999999522	1.90026472100465e-011
      2399.9999999952	2.31161853791186e-006
     2409.99999999518	1.22666518703878e-011
     2419.99999999516	2.10537127497887e-007
     2429.99999999514	1.03022800283961e-011
     2439.99999999512	1.28192167014912e-005
      2449.9999999951	3.70715183354059e-011
     2459.99999999508	5.83706421620991e-007
     2469.99999999506	3.72641241297374e-011
     2479.99999999504	  2.471184968973e-007
     2489.99999999502	1.16141720321609e-010
       2499.999999995	    0.127319690541002
     2509.99999999498	1.15904879624944e-010
     2519.99999999496	 2.3491193636956e-007
     2529.99999999494	3.71126799874487e-011
     2539.99999999492	5.75802002043352e-007
      2549.9999999949	3.67832262216061e-011
     2559.99999999488	1.26097923134615e-005
     2569.99999999486	1.02979171381606e-011
     2579.99999999484	2.08096089229025e-007
     2589.99999999482	1.22454059556628e-011
      2599.9999999948	2.32787387454151e-006
     2609.99999999478	1.90716376664662e-011
     2619.99999999476	1.88053084282314e-006
