            Frequency	      V(Ekte_firkant)
      1049.9999999979	3.77520942074189e-005
     1059.99999999788	3.77520887582797e-005
     1069.99999999786	3.77520832574915e-005
     1079.99999999784	3.77520777050508e-005
     1089.99999999782	3.77520721009623e-005
      1099.9999999978	3.77520664452225e-005
     1109.99999999778	3.77520607378338e-005
     1119.99999999776	3.77520549787902e-005
     1129.99999999774	3.77520491681014e-005
     1139.99999999772	3.77520433057612e-005
      1149.9999999977	3.77520373917722e-005
     1159.99999999768	3.77520314261308e-005
     1169.99999999766	3.77520254088417e-005
     1179.99999999764	3.77520193399015e-005
     1189.99999999762	3.77520132193125e-005
      1199.9999999976	3.77520070470696e-005
     1209.99999999758	3.77520008231806e-005
     1219.99999999756	3.77519945476404e-005
     1229.99999999754	3.77519882204516e-005
     1239.99999999752	3.77519818416102e-005
      1249.9999999975	3.77519754111215e-005
     1259.99999999748	3.77519689289816e-005
     1269.99999999746	3.77519623951932e-005
     1279.99999999744	3.77519558097453e-005
     1289.99999999742	3.77519491726571e-005
      1299.9999999974	3.77519424839177e-005
     1309.99999999738	3.77519357435299e-005
     1319.99999999736	3.77519289514894e-005
     1329.99999999734	3.77519221078021e-005
     1339.99999999732	3.77519152124635e-005
      1349.9999999973	3.77519082654766e-005
     1359.99999999728	3.77519012668355e-005
     1369.99999999726	3.77518942165492e-005
     1379.99999999724	3.77518871146116e-005
     1389.99999999722	3.77518799610259e-005
      1399.9999999972	3.77518727557874e-005
     1409.99999999718	3.77518654989024e-005
     1419.99999999716	3.77518581903661e-005
     1429.99999999714	3.77518508301818e-005
     1439.99999999712	3.77518434183416e-005
      1449.9999999971	3.77518359548581e-005
     1459.99999999708	3.77518284397234e-005
     1469.99999999706	3.77518208729408e-005
     1479.99999999704	3.77518132545054e-005
     1489.99999999702	3.77518055844237e-005
       1499.999999997	3.77517978626909e-005
     1509.99999999698	3.77517900893102e-005
     1519.99999999696	3.77517822642752e-005
     1529.99999999694	3.77517743875956e-005
     1539.99999999692	3.77517664592649e-005
      1549.9999999969	3.77517584792865e-005
     1559.99999999688	3.77517504476553e-005
     1569.99999999686	3.77517423643781e-005
     1579.99999999684	3.77517342294499e-005
     1589.99999999682	 3.7751726042874e-005
      1599.9999999968	3.77517178046402e-005
     1609.99999999678	3.77517095147656e-005
     1619.99999999676	3.77517011732401e-005
     1629.99999999674	3.77516927800671e-005
     1639.99999999672	3.77516843352412e-005
      1649.9999999967	3.77516758387697e-005
     1659.99999999668	3.77516672906472e-005
     1669.99999999666	3.77516586908773e-005
     1679.99999999664	3.77516500394528e-005
     1689.99999999662	3.77516413363847e-005
      1699.9999999966	3.77516325816655e-005
     1709.99999999658	3.77516237752991e-005
     1719.99999999656	3.77516149172799e-005
     1729.99999999654	3.77516060076153e-005
     1739.99999999652	3.77515970462998e-005
      1749.9999999965	3.77515880333372e-005
     1759.99999999648	 3.7751578968718e-005
     1769.99999999646	3.77515698524574e-005
     1779.99999999644	3.77515606845459e-005
     1789.99999999642	3.77515514649874e-005
      1799.9999999964	3.77515421937761e-005
     1809.99999999638	3.77515328709198e-005
     1819.99999999636	3.77515234964127e-005
     1829.99999999634	3.77515140702587e-005
     1839.99999999632	3.77515045924498e-005
      1849.9999999963	3.77514950629981e-005
     1859.99999999628	3.77514854818957e-005
     1869.99999999626	3.77514758491465e-005
     1879.99999999624	3.77514661647445e-005
     1889.99999999622	3.77514564286978e-005
      1899.9999999962	3.77514466410004e-005
     1909.99999999618	3.77514368016563e-005
     1919.99999999616	3.77514269106512e-005
     1929.99999999614	3.77514169680098e-005
     1939.99999999612	3.77514069737178e-005
      1949.9999999961	3.77513969277792e-005
     1959.99999999608	3.77513868301879e-005
     1969.99999999606	3.77513766809522e-005
     1979.99999999604	3.77513664800659e-005
     1989.99999999602	3.77513562275333e-005
       1999.999999996	3.77513459233457e-005
     2009.99999999598	3.77513355675162e-005
     2019.99999999596	 3.7751325160036e-005
     2029.99999999594	3.77513147009097e-005
     2039.99999999592	3.77513041901305e-005
      2049.9999999959	3.77512936277074e-005
     2059.99999999588	3.77512830136338e-005
     2069.99999999586	3.77512723479141e-005
     2079.99999999584	3.77512616305371e-005
     2089.99999999582	3.77512508615209e-005
      2099.9999999958	3.77512400408542e-005
     2109.99999999578	3.77512291685415e-005
     2119.99999999576	3.77512182445761e-005
     2129.99999999574	3.77512072689671e-005
     2139.99999999572	3.77511962417077e-005
      2149.9999999957	3.77511851628025e-005
     2159.99999999568	3.77511740322422e-005
     2169.99999999566	3.77511628500409e-005
     2179.99999999564	3.77511516161892e-005
     2189.99999999562	3.77511403306919e-005
      2199.9999999956	3.77511289935418e-005
     2209.99999999558	3.77511176047486e-005
     2219.99999999556	 3.7751106164305e-005
     2229.99999999554	 3.7751094672216e-005
     2239.99999999552	3.77510831284669e-005
      2249.9999999955	3.77510715330821e-005
