            Frequency	      V(Ekte_firkant)
                    0	9.44572378572316e-006
        9.99999999998	1.88914475663131e-005
       19.99999999996	1.88914475509136e-005
       29.99999999994	1.88914475252478e-005
       39.99999999992	1.88914474893156e-005
        49.9999999999	 1.8891447443117e-005
       59.99999999988	1.88914473866522e-005
       69.99999999986	1.88914473199209e-005
       79.99999999984	1.88914472429234e-005
       89.99999999982	1.88914471556595e-005
        99.9999999998	1.88914470581292e-005
      109.99999999978	1.88914469503326e-005
      119.99999999976	1.88914468322697e-005
      129.99999999974	1.88914467039404e-005
      139.99999999972	1.88914465653448e-005
       149.9999999997	1.88914464164828e-005
      159.99999999968	1.88914462573545e-005
      169.99999999966	1.88914460879599e-005
      179.99999999964	1.88914459082989e-005
      189.99999999962	1.88914457183715e-005
       199.9999999996	1.88914455181779e-005
      209.99999999958	1.88914453077179e-005
      219.99999999956	1.88914450869915e-005
      229.99999999954	1.88914448559988e-005
      239.99999999952	1.88914446147398e-005
       249.9999999995	1.88914443632144e-005
      259.99999999948	1.88914441014227e-005
      269.99999999946	1.88914438293646e-005
      279.99999999944	1.88914435470402e-005
      289.99999999942	1.88914432544495e-005
       299.9999999994	1.88914429515924e-005
      309.99999999938	 1.8891442638469e-005
      319.99999999936	1.88914423150793e-005
      329.99999999934	1.88914419814232e-005
      339.99999999932	1.88914416375007e-005
       349.9999999993	 1.8891441283312e-005
      359.99999999928	1.88914409188569e-005
      369.99999999926	1.88914405441354e-005
      379.99999999924	1.88914401591476e-005
      389.99999999922	1.88914397638935e-005
       399.9999999992	1.88914393583731e-005
      409.99999999918	1.88914389425863e-005
      419.99999999916	1.88914385165331e-005
      429.99999999914	1.88914380802137e-005
      439.99999999912	1.88914376336279e-005
       449.9999999991	1.88914371767757e-005
      459.99999999908	1.88914367096572e-005
      469.99999999906	1.88914362322724e-005
      479.99999999904	1.88914357446213e-005
      489.99999999902	1.88914352467038e-005
        499.999999999	  1.889143473852e-005
      509.99999999898	1.88914342200698e-005
      519.99999999896	1.88914336913534e-005
      529.99999999894	1.88914331523705e-005
      539.99999999892	1.88914326031214e-005
       549.9999999989	1.88914320436059e-005
      559.99999999888	1.88914314738241e-005
      569.99999999886	1.88914308937759e-005
      579.99999999884	1.88914303034615e-005
      589.99999999882	1.88914297028807e-005
       599.9999999988	1.88914290920335e-005
      609.99999999878	1.88914284709201e-005
      619.99999999876	1.88914278395403e-005
      629.99999999874	1.88914271978941e-005
      639.99999999872	1.88914265459817e-005
       649.9999999987	1.88914258838029e-005
      659.99999999868	1.88914252113578e-005
      669.99999999866	1.88914245286463e-005
      679.99999999864	1.88914238356686e-005
      689.99999999862	1.88914231324245e-005
       699.9999999986	1.88914224189141e-005
      709.99999999858	1.88914216951373e-005
      719.99999999856	1.88914209610942e-005
      729.99999999854	1.88914202167849e-005
      739.99999999852	1.88914194622091e-005
       749.9999999985	1.88914186973671e-005
      759.99999999848	1.88914179222587e-005
      769.99999999846	 1.8891417136884e-005
      779.99999999844	 1.8891416341243e-005
      789.99999999842	1.88914155353357e-005
       799.9999999984	 1.8891414719162e-005
      809.99999999838	1.88914138927221e-005
      819.99999999836	1.88914130560158e-005
      829.99999999834	1.88914122090431e-005
      839.99999999832	1.88914113518042e-005
       849.9999999983	 1.8891410484299e-005
      859.99999999828	1.88914096065274e-005
      869.99999999826	1.88914087184895e-005
      879.99999999824	1.88914078201853e-005
      889.99999999822	1.88914069116148e-005
       899.9999999982	1.88914059927779e-005
      909.99999999818	1.88914050636748e-005
      919.99999999816	1.88914041243053e-005
      929.99999999814	1.88914031746696e-005
      939.99999999812	1.88914022147675e-005
       949.9999999981	1.88914012445991e-005
      959.99999999808	1.88914002641644e-005
      969.99999999806	1.88913992734633e-005
      979.99999999804	 1.8891398272496e-005
      989.99999999802	1.88913972612623e-005
        999.999999998	1.88913962397624e-005
     1009.99999999798	1.88913952079961e-005
     1019.99999999796	1.88913941659636e-005
     1029.99999999794	1.88913931136647e-005
     1039.99999999792	1.88913920510995e-005
      1049.9999999979	 1.8891390978268e-005
     1059.99999999788	1.88913898951702e-005
     1069.99999999786	1.88913888018061e-005
     1079.99999999784	1.88913876981757e-005
     1089.99999999782	 1.8891386584279e-005
      1099.9999999978	 1.8891385460116e-005
     1109.99999999778	1.88913843256867e-005
     1119.99999999776	1.88913831809911e-005
     1129.99999999774	1.88913820260292e-005
     1139.99999999772	 1.8891380860801e-005
      1149.9999999977	1.88913796853065e-005
     1159.99999999768	1.88913784995457e-005
     1169.99999999766	1.88913773035186e-005
     1179.99999999764	1.88913760972252e-005
     1189.99999999762	1.88913748806655e-005
      1199.9999999976	1.88913736538396e-005
     1209.99999999758	1.88913724167473e-005
     1219.99999999756	1.88913711693887e-005
     1229.99999999754	1.88913699117639e-005
     1239.99999999752	1.88913686438727e-005
      1249.9999999975	1.88913673657153e-005
     1259.99999999748	1.88913660772916e-005
     1269.99999999746	1.88913647786015e-005
     1279.99999999744	1.88913634696453e-005
     1289.99999999742	1.88913621504227e-005
      1299.9999999974	1.88913608209338e-005
     1309.99999999738	1.88913594811786e-005
     1319.99999999736	1.88913581311572e-005
     1329.99999999734	1.88913567708695e-005
     1339.99999999732	1.88913554003155e-005
      1349.9999999973	1.88913540194952e-005
     1359.99999999728	1.88913526284086e-005
     1369.99999999726	1.88913512270558e-005
     1379.99999999724	1.88913498154366e-005
     1389.99999999722	1.88913483935512e-005
      1399.9999999972	1.88913469613996e-005
     1409.99999999718	1.88913455189816e-005
     1419.99999999716	1.88913440662974e-005
     1429.99999999714	1.88913426033469e-005
     1439.99999999712	1.88913411301301e-005
      1449.9999999971	1.88913396466471e-005
     1459.99999999708	1.88913381528978e-005
     1469.99999999706	1.88913366488822e-005
     1479.99999999704	1.88913351346003e-005
     1489.99999999702	1.88913336100522e-005
       1499.999999997	1.88913320752378e-005
     1509.99999999698	1.88913305301572e-005
     1519.99999999696	1.88913289748102e-005
     1529.99999999694	1.88913274091971e-005
     1539.99999999692	1.88913258333176e-005
      1549.9999999969	1.88913242471719e-005
     1559.99999999688	  1.889132265076e-005
     1569.99999999686	1.88913210440817e-005
     1579.99999999684	1.88913194271373e-005
     1589.99999999682	1.88913177999265e-005
      1599.9999999968	1.88913161624495e-005
     1609.99999999678	1.88913145147063e-005
     1619.99999999676	1.88913128566968e-005
     1629.99999999674	 1.8891311188421e-005
     1639.99999999672	 1.8891309509879e-005
      1649.9999999967	1.88913078210708e-005
     1659.99999999668	1.88913061219963e-005
     1669.99999999666	1.88913044126555e-005
     1679.99999999664	1.88913026930485e-005
     1689.99999999662	1.88913009631753e-005
      1699.9999999966	1.88912992230358e-005
     1709.99999999658	  1.889129747263e-005
     1719.99999999656	1.88912957119581e-005
     1729.99999999654	1.88912939410198e-005
     1739.99999999652	1.88912921598154e-005
      1749.9999999965	1.88912903683447e-005
     1759.99999999648	1.88912885666078e-005
     1769.99999999646	1.88912867546046e-005
     1779.99999999644	1.88912849323352e-005
     1789.99999999642	1.88912830997995e-005
      1799.9999999964	1.88912812569977e-005
     1809.99999999638	1.88912794039296e-005
     1819.99999999636	1.88912775405952e-005
     1829.99999999634	1.88912756669947e-005
     1839.99999999632	1.88912737831279e-005
      1849.9999999963	1.88912718889949e-005
     1859.99999999628	1.88912699845956e-005
     1869.99999999626	1.88912680699302e-005
     1879.99999999624	1.88912661449985e-005
     1889.99999999622	1.88912642098006e-005
      1899.9999999962	1.88912622643364e-005
     1909.99999999618	1.88912603086061e-005
     1919.99999999616	1.88912583426095e-005
     1929.99999999614	1.88912563663467e-005
     1939.99999999612	1.88912543798177e-005
      1949.9999999961	1.88912523830225e-005
     1959.99999999608	1.88912503759611e-005
     1969.99999999606	1.88912483586335e-005
     1979.99999999604	1.88912463310396e-005
     1989.99999999602	1.88912442931796e-005
       1999.999999996	1.88912422450533e-005
     2009.99999999598	1.88912401866609e-005
     2019.99999999596	1.88912381180022e-005
     2029.99999999594	1.88912360390773e-005
     2039.99999999592	1.88912339498863e-005
      2049.9999999959	 1.8891231850429e-005
     2059.99999999588	1.88912297407055e-005
     2069.99999999586	1.88912276207158e-005
     2079.99999999584	  1.889122549046e-005
     2089.99999999582	1.88912233499379e-005
      2099.9999999958	1.88912211991497e-005
     2109.99999999578	1.88912190380952e-005
     2119.99999999576	1.88912168667746e-005
     2129.99999999574	1.88912146851878e-005
     2139.99999999572	1.88912124933348e-005
      2149.9999999957	1.88912102912156e-005
     2159.99999999568	1.88912080788302e-005
     2169.99999999566	1.88912058561787e-005
     2179.99999999564	1.88912036232609e-005
     2189.99999999562	 1.8891201380077e-005
      2199.9999999956	1.88911991266269e-005
     2209.99999999558	1.88911968629106e-005
     2219.99999999556	1.88911945889282e-005
     2229.99999999554	1.88911923046796e-005
     2239.99999999552	1.88911900101648e-005
      2249.9999999955	1.88911877053838e-005
     2259.99999999548	1.88911853903367e-005
     2269.99999999546	1.88911830650234e-005
     2279.99999999544	1.88911807294439e-005
     2289.99999999542	1.88911783835983e-005
      2299.9999999954	1.88911760274865e-005
     2309.99999999538	1.88911736611085e-005
     2319.99999999536	1.88911712844644e-005
     2329.99999999534	1.88911688975541e-005
     2339.99999999532	1.88911665003777e-005
      2349.9999999953	1.88911640929351e-005
     2359.99999999528	1.88911616752264e-005
     2369.99999999526	1.88911592472515e-005
     2379.99999999524	1.88911568090104e-005
     2389.99999999522	1.88911543605033e-005
      2399.9999999952	1.88911519017299e-005
     2409.99999999518	1.88911494326904e-005
     2419.99999999516	1.88911469533848e-005
     2429.99999999514	1.88911444638131e-005
     2439.99999999512	1.88911419639752e-005
      2449.9999999951	1.88911394538711e-005
     2459.99999999508	1.88911369335009e-005
     2469.99999999506	1.88911344028646e-005
     2479.99999999504	1.88911318619622e-005
     2489.99999999502	1.88911293107936e-005
       2499.999999995	1.88911267493589e-005
     2509.99999999498	 1.8891124177658e-005
     2519.99999999496	1.88911215956911e-005
     2529.99999999494	 1.8891119003458e-005
     2539.99999999492	1.88911164009588e-005
      2549.9999999949	1.88911137881934e-005
     2559.99999999488	 1.8891111165162e-005
